station_id,station_name,station_latitude,station_longitude
132,24th St at Chattanooga St,37.7518194,-122.4266139
76,McCoppin St at Valencia St,37.7716624622,-122.42242321370001
120,Mission Dolores Park,37.7614205,-122.4264353
21,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811
351,10th St at University Ave,37.8690604755,-122.29339957239999
321,5th St at Folsom,37.7801457035,-122.40307085239999
269,Telegraph Ave at Carleton St,37.8623199,-122.258801
267,Derby St at College Ave,37.8618037,-122.2535687
240,Haste St at Telegraph Ave,37.86604310000001,-122.2588044
181,Grand Ave at Webster St,37.8113768,-122.2651925
323,Broadway at Kearny,37.798013644,-122.4059504271
112,Harrison St at 17th St,37.7638471,-122.41300359999998
110,17th & Folsom Street Park (17th St at Folsom St),37.7637085,-122.41520420000002
356,Valencia St at Clinton Park,37.7691881781,-122.42228508
277,Morrison Ave at Julian St,37.3336577,-121.90858590000002
42,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823
227,Foothill Blvd at Fruitvale Ave,37.78375689999999,-122.2226033
137,Jersey St at Castro St,37.750506,-122.4339496
50,2nd St at Townsend St,37.780526,-122.39028799999998
113,Franklin Square,37.764555,-122.410345
106,Sanchez St at 17th St,37.7632417,-122.4306746
383,Golden Gate Ave at Franklin St,37.7807871267,-122.4219337106
270,Ninth St at Heinz Ave,37.8534894,-122.2894154
36,Folsom St at 3rd St,37.78383,-122.39887
148,Horton St at 40th St,37.82970460000001,-122.2876102
345,Hubbell St at 16th St,37.7664742152,-122.3982954025
179,Telegraph Ave at 27th St,37.816073115,-122.2678864002
154,Doyle St at 59th St,37.8419238,-122.2880451
254,Vine St at Shattuck Ave,37.8802224459,-122.2695922852
255,Virginia St at Shattuck Ave,37.8765725491,-122.26952791209999
202,Washington St at 8th St,37.8007544,-122.2748943
116,Mississippi St at 17th St,37.76480220000001,-122.3947713
124,19th St at Florida St,37.7604469,-122.410807
371,Lombard St at Columbus Ave,37.8027461525,-122.41357862950001
31,Raymond Kimbell Playground,37.7838127093,-122.4345588684
33,Golden Gate Ave at Hyde St,37.7816495,-122.4154077
338,13th St at Franklin St,37.8031890811,-122.27057933809999
357,2nd St at Julian St,37.3411320355,-121.8928438425
79,7th St at Brannan St,37.7734919,-122.4036725
5,Powell St BART Station (Market St at 5th St),37.7838993571,-122.40844488139999
123,Folsom St at 19th St,37.7605936,-122.41481709999998
35,Cahill Park,37.3291186681,-121.90457582469999
218,DeFremery Park,37.8123315,-122.2851712
178,Broadway at 30th St,37.81938140000001,-122.2619284
180,Telegraph Ave at 23rd St,37.8126783,-122.2687726
246,Berkeley Civic Center,37.8690599,-122.270556
268,Ellsworth St at Russell St,37.8574902146,-122.2615778446
350,8th St at Brannan St,37.7714313629,-122.4057868123
195,Bay Pl at Vernon St,37.8123140914,-122.26077854629999
190,West St at 40th St,37.8302232,-122.2709501
55,Webster St at Grove St,37.7770527,-122.4295585
182,19th Street BART Station,37.8090126,-122.2682473
198,Snow Park,37.8078131822,-122.26449608799999
90,Townsend St at 7th St,37.771058,-122.402717
9,Broadway at Battery St,37.7985721085,-122.4008689821
126,Esprit Park,37.7616343,-122.3906477
64,5th St at Brannan St,37.7767539,-122.3990176
8,The Embarcadero at Vallejo St,37.799953,-122.398525
343,Bryant St at 2nd St,37.7831719893,-122.3935720325
171,Rockridge BART Station,37.844278754,-122.2519004345
136,23rd St at San Bruno Ave,37.7544356,-122.4043639
56,Koshland Park,37.77341397,-122.4273169041
175,49th St at Telegraph Ave,37.8359455,-122.2623663
314,Santa Clara St at Almaden Blvd,37.333988,-121.894902
172,College Ave at Taft Ave,37.8417999,-122.2515349
363,Salesforce Transit Center (Natoma St at 2nd St),37.7874921044,-122.3982846737
52,McAllister St at Baker St,37.7774157,-122.4418376
324,Union Square (Powell St at Post St),37.7882999782,-122.40853071209999
365,Turk St at Fillmore St,37.78045006,-122.4319463968
211,Broadway at 40th St,37.8277573,-122.2567156
280,San Fernando St at 7th St,37.3371223729,-121.88321471209998
200,2nd Ave at E 18th St,37.800213567,-122.25381016729999
284,Yerba Buena Center for the Arts (Howard St at 3rd St),37.7848720844,-122.4008756876
155,Emeryville Public Market,37.840521166900004,-122.2935283184
317,San Salvador St at 9th St,37.333955,-121.877349
59,S Van Ness Ave at Market St,37.774814,-122.418954
19,Post St at Kearny St,37.788975,-122.403452
224,21st Ave at International Blvd,37.7848546623,-122.239304781
291,Autumn Parkway at Coleman Ave,37.3413348,-121.90318290000002
355,23rd St at Tennessee St,37.7553671322,-122.3887950182
237,Fruitvale BART Station,37.7752321,-122.2244982
60,8th St at Ringold St,37.7745204011,-122.40944936870001
96,Dolores St at 15th St,37.7662102,-122.4266136
168,Alcatraz Ave at Shattuck Ave,37.8495949678,-122.2655689716
46,San Antonio Park,37.7901398519,-122.24237322809999
313,Almaden Blvd at San Fernando St,37.331415,-121.8932
23,The Embarcadero at Steuart St,37.79146400000001,-122.391034
142,Guerrero Park,37.7457387962,-122.4221402407
340,Harmon St at Adeline St,37.849735,-122.270582
194,Lakeshore Ave at Trestle Glen Rd,37.81108070000001,-122.24326770000002
108,16th St Mission BART,37.7647100858,-122.4199569225
282,Market St at Park St,37.3324263013,-121.89034938809999
176,MacArthur BART Station,37.8284099731,-122.26631462569999
259,Addison St at Fourth St,37.866249,-122.2993708
265,Ninth St at Parker St,37.8588682,-122.2912095
63,Bryant St at 6th St,37.7759102223,-122.4025750067
192,37th St at West St,37.8266955864,-122.271797061
263,Channing Way at San Pablo Ave,37.8628271,-122.2902305
146,30th St at San Jose Ave,37.7423139,-122.4231805
97,14th St at Mission St,37.7682646,-122.4201102
80,Townsend St at 5th St,37.7752348686,-122.3974370956
339,Jackson St at 11th St,37.8000016312,-122.2664380074
134,Valencia St at 24th St,37.7524278,-122.4206278
373,Potrero del Sol Park (25th St at Utah St),37.7517916453,-122.4052155018
100,Bryant St at 15th St,37.7671004,-122.41066200000002
125,20th St at Bryant St,37.7592005,-122.409851
43,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292
39,Scott St at Golden Gate Ave,37.7789994,-122.4368608
214,Market St at Brockhurst St,37.8233214,-122.2757325
369,Hyde St at Post St,37.7873490232,-122.4166510999
193,Grand Ave at Santa Clara Ave,37.8127441,-122.2472152
207,Broadway at Coronado Ave,37.8357883,-122.2516207
337,Webster St at 19th St,37.806969761,-122.2665882111
157,65th St at Hollis St,37.8467842,-122.2913761
381,20th St at Dolores St,37.7582384242,-122.4260938168
368,Myrtle St at Polk St,37.7854338279,-122.41962164639999
145,29th St at Church St,37.7436839,-122.42680590000002
144,Precita Park,37.74729960000001,-122.4114029
37,2nd St at Folsom St,37.7849997283,-122.3959356175
72,Page St at Scott St,37.772406,-122.4356498
380,Masonic Ave at Turk St,37.7790466585,-122.4472913146
153,59th St at Horton St,37.84094520000001,-122.2913604
105,16th St at Prosper St,37.764285,-122.43180420000002
210,45th St at Manila,37.833293522199995,-122.2562241554
131,22nd St at Dolores St,37.7550002604,-122.42572769520001
167,College Ave at Harwood Ave,37.848152,-122.2521599
327,5th St at San Salvador St,37.332038681,-121.8817663193
281,9th St at San Fernando St,37.33839520000001,-121.8807965
147,29th St at Tiffany Ave,37.74406670000001,-122.4214722
372,Madison St at 17th St,37.804036784000004,-122.2624093294
206,College Ave at Bryant Ave,37.8381269,-122.25127140000002
160,West Oakland BART Station,37.8053183,-122.2948365
91,Berry St at King St,37.7717621103,-122.3984375596
309,San Jose City Hall,37.337391,-121.886995
204,55th St at Telegraph Ave,37.84018579999999,-122.2618225
53,Grove St at Divisadero,37.77594600000001,-122.4377775
213,32nd St at Adeline St,37.8238474,-122.2811926
158,Shattuck Ave at Telegraph Ave,37.8332786,-122.26349009999998
219,Marston Campbell Park,37.8098236,-122.2801923
102,Irwin St at 8th St,37.7668828,-122.3995794
242,Milvia St at Derby St,37.8601245991,-122.269384414
149,Emeryville Town Hall,37.8312752,-122.2856333
248,Telegraph Ave at Ashby Ave,37.8559558,-122.2597949
289,5th St at Taylor St,37.3510173,-121.8959209
162,Franklin St at 9th St,37.8005161,-122.2720799
186,Lakeside Dr at 14th St,37.8013189,-122.2626418
169,Bushrod Park,37.8465156,-122.2653043
140,Cesar Chavez St at Dolores St,37.7478584,-122.4249863
360,Newhall St at 3rd St,37.7385718713,-122.3896177858
232,MLK Jr Way at 14th St,37.8061628,-122.2760402
233,4th Ave at E 12th St (Temporary Location),37.795913,-122.255547
118,Eureka Valley Recreation Center,37.7591769,-122.4369431
273,Fulton St at Ashby Ave,37.8555736618,-122.2635653615
222,10th Ave at E 15th St,37.7927143,-122.2487796
84,Duboce Park,37.7692005,-122.4338119
220,San Pablo Ave at MLK Jr Way,37.8113514,-122.2734217
189,Genoa St at 55th St,37.83964879999999,-122.2717561
138,Jersey St at Church St,37.7509004,-122.4274114
315,Market St at 45th St,37.834174,-122.272968
187,Jack London Square,37.796248,-122.279352
209,45th St at MLK Jr Way,37.83355770000001,-122.2674183
188,Dover St at 57th St,37.8426295,-122.267738
257,Fifth St at Delaware St,37.8704071155,-122.2996759415
231,14th St at Filbert St,37.808749834699995,-122.28328228
203,Webster St at 2nd St,37.7951947644,-122.2739696503
151,53rd St at Hollis St,37.8361823,-122.2871801
191,Market St at 40th St,37.8305452,-122.2739367
308,San Pedro Square,37.336802,-121.8940901
212,Mosswood Park,37.82489253,-122.26043654610001
205,Miles Ave at Cavour St,37.8388,-122.258732
150,Adeline St at 40th St,37.8312769,-122.2782669
297,Locust St at Grant St,37.3229796,-121.8879312
159,24th St at Market St,37.8160598,-122.27824440000002
299,Bestor Art Park,37.3236779,-121.8741186
236,Market St at 8th St,37.8036865,-122.282497
249,Russell St at College Ave,37.8584732,-122.2532529
271,San Pablo Park,37.8557833203,-122.28312671180001
361,Mendell St at Fairfax Ave,37.739853018000005,-122.3856554925
362,Lane St at Revere Ave,37.7317266935,-122.3900556564
286,San Carlos St at 11th St,37.3364659,-121.8766132
152,47th St at San Pablo Ave,37.8356322046,-122.28105068209999
234,Farnam St at Fruitvale Ave,37.778058,-122.2254
216,San Pablo Ave at 27th St,37.8178269,-122.2756976
316,San Salvador St at 1st St,37.330165,-121.885831
174,Shattuck Ave at 51st St,37.8368013,-122.2640037
304,Jackson St at 5th St,37.3487586867,-121.8947978318
275,Julian St at 6th St,37.3429973,-121.8888891
215,34th St at Telegraph Ave,37.8225475,-122.2663179
288,Mission St at 1st St,37.3509643,-121.90201609999998
156,Stanford Ave at Hollis St,37.8384435,-122.2886647
306,Saint James Park,37.339301,-121.88993700000002
301,Willow St at Vine St,37.3184498,-121.88317240000002
287,Almaden Blvd at Balbach St,37.32673,-121.8892731
170,Telegraph Ave at 58th St,37.8444927,-122.261351
359,Williams Ave at Apollo St,37.730167508200005,-122.3989632726
298,Oak St at 1st St,37.3221246254,-121.88109040260001
283,Delmas Ave and San Fernando St,37.3302641,-121.8977018
217,27th St at MLK Jr Way,37.8170154,-122.2717615
221,6th Ave at E 12th St (Temporary Location),37.794396,-122.253842
173,Shattuck Ave at 55th St,37.8403643,-122.2644881
228,Foothill Blvd at Harrington Ave,37.77993,-122.2177284
358,Williams Ave at 3rd St,37.7292786517,-122.3928961158
307,SAP Center,37.332692,-121.900084
295,William St at 10th St,37.3327938,-121.8759263
375,Grove St at Masonic Ave,37.7748362941,-122.44654566049999
303,San Pedro St at Hedding St,37.352601,-121.905733
164,Isabella St at San Pablo Ave,37.8149882304,-122.2748440504
290,George St at 1st St,37.3477319,-121.899464
226,26th Ave at International Blvd,37.781123,-122.2329915
225,23rd Ave at Foothill Blvd,37.7851915,-122.2343822
300,Palm St at Willow St,37.3172979,-121.884995
98,Valencia St at 16th St,37.765052,-122.4218661
272,Woolsey St at Sacramento St1,37.850577684,-122.278175354
386,24th St at Bartlett St,37.7521049844,-122.41972357030001
51,Parker Ave at McAllister St,37.7761009126,-122.4530929327
398,Leavenworth St at Broadway,37.7964706916,-122.41685763
344,16th St Depot,37.766348585900005,-122.39629179239999
388,Backesto Park (Jackson St at 13th St),37.3528868273,-121.8860498071
